id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
162.0	2.9	1997.766712	42.982312	12.874745	4.586	105.0	50.0	-110.0	-350600.0	-233100.0	-40660.0	-313300.0	-145700.0	-89100.0
163.0	3.1	1997.766933	43.004749	12.834827	6.162	180.0	50.0	-50.0	-437400.0	-141600.0	271800.0	-173800.0	155900.0	-65490.0
164.0	2.4	1997.766952	43.005827	12.835351	6.091	175.0	50.0	-50.0	-437400.0	-141600.0	271800.0	-173800.0	155900.0	-65490.0
165.0	2.9	1997.767102	43.002246	12.881519	2.619	60.0	65.0	10.0	-142500.0	117300.0	27150.0	66810.0	49810.0	-271300.0
166.0	2.4	1997.767108	42.993001	12.890761	2.073	100.0	85.0	-130.0	-56370.0	99760.0	39260.0	108300.0	144800.0	-134700.0
167.0	2.4	1997.76721	43.018091	12.861902	5.018	175.0	55.0	-40.0	-1344000.0	418200.0	483300.0	116700.0	82900.0	-606800.0
168.0	2.4	1997.76726	43.030098	12.856354	4.866	15.0	75.0	30.0	-4037000.0	-1548000.0	407400.0	-1218000.0	-174800.0	-1512000.0
169.0	3.7	1997.767372	42.965629	12.86696	3.931	280.0	50.0	-160.0	-246300.0	-120800.0	-43300.0	-68800.0	-56720.0	2523.0
170.0	3.0	1997.767439	42.983488	12.879447	3.28	155.0	50.0	-50.0	-228700.0	-63270.0	-90970.0	-24550.0	-102900.0	-180700.0
171.0	3.0	1997.767572	43.002799	12.884321	0.761	150.0	65.0	-40.0	36830.0	109800.0	9279.0	77750.0	128400.0	-30630.0
172.0	2.4	1997.767653	42.987423	12.832572	1.495	160.0	65.0	-40.0	-126100.0	-36680.0	-74710.0	38620.0	-59820.0	16880.0
173.0	2.4	1997.768001	42.996602	12.880417	3.238	120.0	65.0	-70.0	-217600.0	-4427.0	-42280.0	-75240.0	-101700.0	-290500.0
174.0	2.4	1997.768376	43.025057	12.864511	3.74	355.0	30.0	-80.0	-1227000.0	70580.0	33480.0	287800.0	64910.0	-667700.0
175.0	2.4	1997.768431	43.018486	12.873906	2.89	200.0	85.0	-20.0	-479500.0	195600.0	99390.0	280100.0	139800.0	-386800.0
176.0	3.0	1997.76856	43.026029	12.865882	4.299	110.0	45.0	-120.0	-2043000.0	385400.0	661300.0	630400.0	146600.0	-1327000.0
177.0	2.4	1997.768771	42.994409	12.880225	3.339	150.0	55.0	-50.0	-217600.0	-4427.0	-42280.0	-75240.0	-101700.0	-290500.0
178.0	3.0	1997.768844	43.055497	12.795832	8.814	75.0	75.0	-160.0	86800.0	93350.0	35490.0	123200.0	40410.0	-260300.0
