id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
96.0	2.3	2009.263398	42.31018	13.47394	4.131	135.0	60.0	-120.0	1659000.0	-200800.0	1641000.0	1759000.0	-1703000.0	4741000.0
97.0	1.6	2009.263407	42.33666	13.42014	5.949	360.0	60.0	-120.0	884400.0	-93360.0	97040.0	-1622000.0	1539000.0	-691000.0
98.0	1.4	2009.263413	42.31786	13.41141	8.862	175.0	85.0	140.0	879200.0	228000.0	-1033000.0	-1497000.0	5094.0	-1026000.0
99.0	1.7	2009.26347	42.37309	13.37202	6.619	125.0	50.0	-80.0	-4654000.0	-3790000.0	2095000.0	-2315000.0	-627800.0	4646000.0
100.0	1.2	2009.263506	42.36529	13.33835	8.727	230.0	15.0	170.0	584200.0	447600.0	-624400.0	248500.0	-236200.0	100600.0
101.0	1.6	2009.263507	42.33463	13.39688	9.677	25.0	20.0	-20.0	1600000.0	133500.0	-179700.0	-579300.0	1086000.0	886100.0
102.0	2.8	2009.263547	42.38048	13.34198	8.583	160.0	60.0	-60.0	-119900.0	-395900.0	964600.0	-954200.0	717500.0	644700.0
103.0	2.4	2009.263601	42.30339	13.47105	4.134	20.0	35.0	-60.0	1621000.0	78990.0	1847000.0	1144000.0	-671000.0	2559000.0
104.0	1.6	2009.263672	42.37913	13.34195	8.386	180.0	85.0	10.0	229300.0	256500.0	341800.0	97580.0	273100.0	-229900.0
105.0	2.9	2009.263748	42.3791	13.40082	11.989	115.0	30.0	-130.0	447800.0	61940.0	322200.0	80550.0	-75610.0	636200.0
106.0	2.0	2009.263787	42.36087	13.35822	7.916	140.0	30.0	-90.0	568200.0	178600.0	-861000.0	-721300.0	-216900.0	-2249000.0
107.0	2.0	2009.263844	42.3575	13.42625	4.059	195.0	80.0	0.0	-3788000.0	-4039000.0	2548000.0	-5936000.0	800300.0	7181000.0
108.0	4.75	2009.263911	42.34169	13.40527	6.503	355.0	30.0	-65.0	653000.0	343200.0	1681000.0	-863600.0	1322000.0	-2000000.0
109.0	3.3	2009.263919	42.33352	13.3814	9.165	110.0	75.0	-120.0	-636900.0	-310500.0	-673300.0	-808700.0	181700.0	-1267000.0
110.0	2.3	2009.263922	42.32407	13.39194	9.388	135.0	60.0	-90.0	205600.0	334100.0	-872100.0	215900.0	-203600.0	76590.0
