id	M	dec_year	latitude	longitude	depth	strike	dip	rake	s11	s12	s13	s22	s23	s33
77.0	2.41	2019.506679	35.66368	-117.56783	10.283	107.0	78.0	170.0	4872000.0	-895900.0	523500.0	846000.0	8141.0	-782600.0
78.0	2.45	2019.506683	35.59817	-117.59845	5.605	133.0	77.0	-139.0	304100.0	-380500.0	-777000.0	1672000.0	-95860.0	122700.0
79.0	2.68	2019.506727	35.71022	-117.46561	1.92	144.0	79.0	-174.0	-2061000.0	-2012000.0	-84560.0	-1049000.0	-589400.0	-360300.0
80.0	3.98	2019.506759	35.63898	-117.53993	11.805	114.0	65.0	-179.0	2967000.0	-6236000.0	-684400.0	-8275000.0	242100.0	-718000.0
81.0	3.34	2019.506828	35.65396	-117.5182	2.745	177.0	78.0	-147.0	-1403000.0	-2778000.0	1303000.0	-441700.0	-2759000.0	-1912000.0
82.0	2.02	2019.506751	35.63853	-117.55605	10.437	110.0	49.0	-121.0	5337000.0	7364000.0	-232200.0	7675000.0	275400.0	2140000.0
83.0	3.25	2019.506767	35.76933	-117.61418	3.399	333.0	71.0	-150.0	991900.0	-871800.0	221200.0	518300.0	-106500.0	55660.0
84.0	2.24	2019.50678	35.65593	-117.51929	3.194	208.0	46.0	-156.0	189800.0	-2440000.0	1034000.0	-1454000.0	-1771000.0	310300.0
85.0	1.65	2019.506791	35.69017	-117.49515	5.814	106.0	55.0	120.0	-4616000.0	-3318000.0	1114000.0	-16260000.0	1537000.0	-1426000.0
86.0	2.38	2019.50682	35.67033	-117.51483	8.404	119.0	88.0	-150.0	909200.0	2460000.0	-2238000.0	6582000.0	-1110000.0	2175000.0
87.0	1.54	2019.506854	35.68908	-117.50477	9.55	280.0	57.0	115.0	2793000.0	1138000.0	-551400.0	3399000.0	-1042000.0	-1714000.0
88.0	3.27	2019.506873	35.62703	-117.5605	6.057	274.0	43.0	-139.0	987100.0	-5991000.0	334100.0	-20100000.0	691900.0	-3146000.0
89.0	2.22	2019.506877	35.63177	-117.55972	4.323	154.0	89.0	-163.0	12170000.0	8212000.0	-28320.0	-21960000.0	1496000.0	-2234000.0
90.0	2.36	2019.506879	35.69073	-117.4813	4.408	209.0	52.0	-127.0	-3836000.0	-1790000.0	519700.0	-3061000.0	339700.0	-2138000.0
91.0	2.53	2019.506885	35.77253	-117.6161	3.433	343.0	83.0	165.0	863500.0	-830700.0	223700.0	550100.0	-127500.0	63540.0
92.0	2.19	2019.506888	35.72265	-117.51175	12.65	131.0	66.0	-159.0	1861000.0	1379000.0	875300.0	1991000.0	152900.0	814400.0
93.0	1.75	2019.50689	35.72398	-117.55275	4.309	155.0	63.0	-116.0	3671000.0	-1753000.0	599300.0	1047000.0	-455600.0	680900.0
